Offset     ProcessName     PID   PPID  Name  Path  Priority  Cmdline User  Sess  Time  CMD   PHollow SPath
---------- --------------- ----- ----- ----- ----- --------- ------- ----- ----- ----- ----- ------- -----
0x81cdd790 explorer.exe     1756 True  True  True  True      True    True  True  True  True  True    True 
0x822ea020 svchost.exe      1040 True  True  True  True      True    True  True  True  True  True    True 
0x81e5b2e8 winlogon.exe      644 True  True  True  True      True    True  True  True  True  True    True 
0x81f04228 smss.exe          548 True  True  True  True      True    True  None  True  True  True    True 
0x81de55f0 svchost.exe      1244 True  True  True  True      True    True  True  True  True  True    True 
0x82256da0 services.exe      688 True  True  True  True      True    True  True  True  True  True    True 
0x81dde568 spoolsv.exe      1460 True  True  True  True      True    True  True  True  True  True    True 
0x822e1da0 svchost.exe       948 True  True  True  True      True    True  True  True  True  True    True 
0x82129da0 lsass.exe         700 True  True  True  True      True    True  True  True  True  True    True 
0x81dea020 svchost.exe      1100 True  True  True  True      True    True  True  True  True  True    True 
0x82209640 svchost.exe      1384 True  True  True  True      True    True  True  False True  True    True 
0x822eeda0 csrss.exe         612 True  True  True  True      True    True  True  True  True  True    True 
0x82266870 svchost.exe       880 True  True  True  True      True    True  True  True  True  True    True 
0x823c8830 system              4 True  True  True  True      True    True  None  True  True  True    True 
