   CPU  Index   Selector Value      Module               Section     
------ ------ ---------- ---------- -------------------- ------------
     0      0        0x8 0x8053d36c ntoskrnl.exe         .text       
     0      1        0x8 0x8053d4e4 ntoskrnl.exe         .text       
     0      2       0x58 0x00000000 NOT USED                         
     0      3        0x8 0x8053d8b4 ntoskrnl.exe         .text       
     0      4        0x8 0x8053da34 ntoskrnl.exe         .text       
     0      5        0x8 0x8053db90 ntoskrnl.exe         .text       
     0      6        0x8 0x8053dd04 ntoskrnl.exe         .text       
     0      7        0x8 0x8053e36c ntoskrnl.exe         .text       
     0      8       0x50 0x00000000 NOT USED                         
     0      9        0x8 0x8053e790 ntoskrnl.exe         .text       
     0      A        0x8 0x8053e8b0 ntoskrnl.exe         .text       
     0      B        0x8 0x8053e9f0 ntoskrnl.exe         .text       
     0      C        0x8 0x8053ec4c ntoskrnl.exe         .text       
     0      D        0x8 0x8053ef30 ntoskrnl.exe         .text       
     0      E        0x8 0x8053f620 ntoskrnl.exe         .text       
     0      F        0x8 0x8053f950 ntoskrnl.exe         .text       
     0     10        0x8 0x8053fa70 ntoskrnl.exe         .text       
     0     11        0x8 0x8053fba8 ntoskrnl.exe         .text       
     0     12       0xa0 0x8053f950 ntoskrnl.exe         .text       
     0     13        0x8 0x8053fd10 ntoskrnl.exe         .text       
     0     14        0x8 0x8053f950 ntoskrnl.exe         .text       
     0     15        0x8 0x8053f950 ntoskrnl.exe         .text       
     0     16        0x8 0x8053f950 ntoskrnl.exe         .text       
     0     17        0x8 0x8053f950 ntoskrnl.exe         .text       
     0     18        0x8 0x8053f950 ntoskrnl.exe         .text       
     0     19        0x8 0x8053f950 ntoskrnl.exe         .text       
     0     1A        0x8 0x8053f950 ntoskrnl.exe         .text       
     0     1B        0x8 0x8053f950 ntoskrnl.exe         .text       
     0     1C        0x8 0x8053f950 ntoskrnl.exe         .text       
     0     1D        0x8 0x8053f950 ntoskrnl.exe         .text       
     0     1E        0x8 0x8053f950 ntoskrnl.exe         .text       
     0     1F        0x8 0x806cffd0 hal.dll              .text       
     0     20        0x8 0x00000000 NOT USED                         
     0     21        0x8 0x00000000 NOT USED                         
     0     22        0x8 0x00000000 NOT USED                         
     0     23        0x8 0x00000000 NOT USED                         
     0     24        0x8 0x00000000 NOT USED                         
     0     25        0x8 0x00000000 NOT USED                         
     0     26        0x8 0x00000000 NOT USED                         
     0     27        0x8 0x00000000 NOT USED                         
     0     28        0x8 0x00000000 NOT USED                         
     0     29        0x8 0x00000000 NOT USED                         
     0     2A        0x8 0x8053cbae ntoskrnl.exe         .text       
     0     2B        0x8 0x8053ccb0 ntoskrnl.exe         .text       
     0     2C        0x8 0x8053ce50 ntoskrnl.exe         .text       
     0     2D        0x8 0x8053d790 ntoskrnl.exe         .text       
     0     2E        0x8 0x8053c651 ntoskrnl.exe         .text       
     0     2F        0x8 0x8053f950 ntoskrnl.exe         .text       
     0     30        0x8 0x8053bd10 ntoskrnl.exe         .text       
     0     31        0x8 0x8053bd1a ntoskrnl.exe         .text       
     0     32        0x8 0x8053bd24 ntoskrnl.exe         .text       
     0     33        0x8 0x8053bd2e ntoskrnl.exe         .text       
     0     34        0x8 0x8053bd38 ntoskrnl.exe         .text       
     0     35        0x8 0x8053bd42 ntoskrnl.exe         .text       
     0     36        0x8 0x8053bd4c ntoskrnl.exe         .text       
     0     37        0x8 0x806cf728 hal.dll              .text       
     0     38        0x8 0x8053bd60 ntoskrnl.exe         .text       
     0     39        0x8 0x8053bd6a ntoskrnl.exe         .text       
