Pid      Process              Base       InLoad InInit InMem MappedPath
-------- -------------------- ---------- ------ ------ ----- ----------
       4 System               0x7c900000 False  False  False \WINDOWS\system32\ntdll.dll
     548 smss.exe             0x48580000 True   False  True  \WINDOWS\system32\smss.exe
     548 smss.exe             0x7c900000 True   True   True  \WINDOWS\system32\ntdll.dll
     612 csrss.exe            0x007f0000 False  False  False \WINDOWS\Fonts\vgasys.fon
     612 csrss.exe            0x00dd0000 False  False  False \WINDOWS\Fonts\sserife.fon
     612 csrss.exe            0x77d40000 True   True   True  \WINDOWS\system32\user32.dll
     612 csrss.exe            0x75b50000 True   True   True  \WINDOWS\system32\basesrv.dll
     612 csrss.exe            0x75b60000 True   True   True  \WINDOWS\system32\winsrv.dll
     612 csrss.exe            0x77e70000 True   True   True  \WINDOWS\system32\rpcrt4.dll
     612 csrss.exe            0x4a680000 True   False  True  \WINDOWS\system32\csrss.exe
     612 csrss.exe            0x75e90000 True   True   True  \WINDOWS\system32\sxs.dll
     612 csrss.exe            0x7c800000 True   True   True  \WINDOWS\system32\kernel32.dll
     612 csrss.exe            0x77dd0000 True   True   True  \WINDOWS\system32\advapi32.dll
     612 csrss.exe            0x7c900000 True   True   True  \WINDOWS\system32\ntdll.dll
     612 csrss.exe            0x77f10000 True   True   True  \WINDOWS\system32\gdi32.dll
     612 csrss.exe            0x75b40000 True   True   True  \WINDOWS\system32\csrsrv.dll
     644 winlogon.exe         0x01000000 True   False  True  \WINDOWS\system32\winlogon.exe
     644 winlogon.exe         0x01530000 True   True   True  \WINDOWS\system32\xpsp2res.dll
     644 winlogon.exe         0x77f60000 True   True   True  \WINDOWS\system32\shlwapi.dll
     644 winlogon.exe         0x72d20000 True   True   True  \WINDOWS\system32\wdmaud.drv
     644 winlogon.exe         0x76360000 True   True   True  \WINDOWS\system32\winsta.dll
     644 winlogon.exe         0x77c00000 True   True   True  \WINDOWS\system32\version.dll
     644 winlogon.exe         0x771b0000 True   True   True  \WINDOWS\system32\wininet.dll
     644 winlogon.exe         0x77be0000 True   True   True  \WINDOWS\system32\msacm32.dll
     644 winlogon.exe         0x7c800000 True   True   True  \WINDOWS\system32\kernel32.dll
     644 winlogon.exe         0x76b40000 True   True   True  \WINDOWS\system32\winmm.dll
     644 winlogon.exe         0x5b860000 True   True   True  \WINDOWS\system32\netapi32.dll
     644 winlogon.exe         0x77bd0000 True   True   True  \WINDOWS\system32\midimap.dll
     644 winlogon.exe         0x76bf0000 True   True   True  \WINDOWS\system32\psapi.dll
     644 winlogon.exe         0x71ab0000 True   True   True  \WINDOWS\system32\ws2_32.dll
     644 winlogon.exe         0x71ad0000 True   True   True  \WINDOWS\system32\wsock32.dll
     644 winlogon.exe         0x774e0000 True   True   True  \WINDOWS\system32\ole32.dll
     644 winlogon.exe         0x77920000 True   True   True  \WINDOWS\system32\setupapi.dll
     644 winlogon.exe         0x7c900000 True   True   True  \WINDOWS\system32\ntdll.dll
     644 winlogon.exe         0x77f10000 True   True   True  \WINDOWS\system32\gdi32.dll
     644 winlogon.exe         0x77120000 True   True   True  \WINDOWS\system32\oleaut32.dll
     644 winlogon.exe         0x77d40000 True   True   True  \WINDOWS\system32\user32.dll
     644 winlogon.exe         0x76f50000 True   True   True  \WINDOWS\system32\wtsapi32.dll
     644 winlogon.exe         0x77e70000 True   True   True  \WINDOWS\system32\rpcrt4.dll
     644 winlogon.exe         0x7c9c0000 True   True   True  \WINDOWS\system32\shell32.dll
