Offset(V)  Name                 Base             Size File
---------- -------------------- ---------- ---------- ----
0x823fc3a0 ntoskrnl.exe         0x804d7000   0x1f6280 \WINDOWS\system32\ntkrnlpa.exe
0x823fc338 hal.dll              0x806ce000    0x20380 \WINDOWS\system32\hal.dll
0x823fc2d0 kdcom.dll            0xf8b9a000     0x2000 \WINDOWS\system32\KDCOM.DLL
0x823fc260 BOOTVID.dll          0xf8aaa000     0x3000 \WINDOWS\system32\BOOTVID.dll
0x823fc1f8 ACPI.sys             0xf856b000    0x2e000 ACPI.sys
0x823fc188 WMILIB.SYS           0xf8b9c000     0x2000 \WINDOWS\system32\DRIVERS\WMILIB.SYS
0x823fc120 pci.sys              0xf855a000    0x11000 pci.sys
0x823fc0b0 isapnp.sys           0xf869a000     0x9000 isapnp.sys
0x823fc040 compbatt.sys         0xf8aae000     0x3000 compbatt.sys
0x823ed008 BATTC.SYS            0xf8ab2000     0x4000 \WINDOWS\system32\DRIVERS\BATTC.SYS
0x823edf98 intelide.sys         0xf8b9e000     0x2000 intelide.sys
0x823edf28 PCIIDEX.SYS          0xf891a000     0x7000 \WINDOWS\system32\DRIVERS\PCIIDEX.SYS
0x823edeb8 MountMgr.sys         0xf86aa000     0xb000 MountMgr.sys
0x823ede48 ftdisk.sys           0xf853b000    0x1f000 ftdisk.sys
0x823eddd8 dmload.sys           0xf8ba0000     0x2000 dmload.sys
0x823edd70 dmio.sys             0xf8515000    0x26000 dmio.sys
0x823edd00 PartMgr.sys          0xf8922000     0x5000 PartMgr.sys
0x823edc90 VolSnap.sys          0xf86ba000     0xd000 VolSnap.sys
0x823edc28 atapi.sys            0xf84fd000    0x18000 atapi.sys
0x823edbb8 vmscsi.sys           0xf8ab6000     0x3000 vmscsi.sys
0x823edb48 SCSIPORT.SYS         0xf84e5000    0x18000 \WINDOWS\system32\drivers\SCSIPORT.SYS
0x823edae0 disk.sys             0xf86ca000     0x9000 disk.sys
0x823eda70 CLASSPNP.SYS         0xf86da000     0xd000 \WINDOWS\system32\DRIVERS\CLASSPNP.SYS
0x823eda00 fltMgr.sys           0xf84c6000    0x1f000 fltMgr.sys
0x823ed998 sr.sys               0xf84b4000    0x12000 sr.sys
0x823ed928 KSecDD.sys           0xf849d000    0x17000 KSecDD.sys
0x823ed8c0 Ntfs.sys             0xf8410000    0x8d000 Ntfs.sys
0x823ed858 NDIS.sys             0xf83e3000    0x2d000 NDIS.sys
0x823ed7f0 Mup.sys              0xf83c8000    0x1b000 Mup.sys
0x823ed780 agp440.sys           0xf86ea000     0xb000 agp440.sys
0x823ae6e8 i8042prt.sys         0xf871a000     0xd000 \SystemRoot\system32\DRIVERS\i8042prt.sys
0x81ebf460 kbdclass.sys         0xf894a000     0x6000 \SystemRoot\system32\DRIVERS\kbdclass.sys
0x81ebf1f0 vmmouse.sys          0xf8ba2000     0x2000 \SystemRoot\system32\DRIVERS\vmmouse.sys
0x822a7948 mouclass.sys         0xf8952000     0x6000 \SystemRoot\system32\DRIVERS\mouclass.sys
0x822a7670 parport.sys          0xf835b000    0x14000 \SystemRoot\system32\DRIVERS\parport.sys
0x8223c6b0 serial.sys           0xf872a000    0x10000 \SystemRoot\system32\DRIVERS\serial.sys
0x8223c640 serenum.sys          0xf8b42000     0x4000 \SystemRoot\system32\DRIVERS\serenum.sys
0x81ebf4d0 fdc.sys              0xf896a000     0x7000 \SystemRoot\system32\DRIVERS\fdc.sys
0x822a76e0 cdrom.sys            0xf873a000     0xd000 \SystemRoot\system32\DRIVERS\cdrom.sys
0x822cd638 redbook.sys          0xf874a000     0xf000 \SystemRoot\system32\DRIVERS\redbook.sys
0x822cd4d8 ks.sys               0xf8338000    0x23000 \SystemRoot\system32\DRIVERS\ks.sys
0x82332850 vmci.sys             0xf875a000     0xe000 \SystemRoot\system32\DRIVERS\vmci.sys
0x81dc2660 vmx_svga.sys         0xf8992000     0x6000 \SystemRoot\system32\DRIVERS\vmx_svga.sys
0x81ebec18 VIDEOPRT.SYS         0xf8324000    0x14000 \SystemRoot\system32\DRIVERS\VIDEOPRT.SYS
0x81ebea40 usbuhci.sys          0xf899a000     0x5000 \SystemRoot\system32\DRIVERS\usbuhci.sys
