Offset     ProcessName     PID   PPID  Name  Path  Priority  Cmdline User  Sess  Time  CMD   PHollow SPath
---------- --------------- ----- ----- ----- ----- --------- ------- ----- ----- ----- ----- ------- -----
0x80ff88d8 svchost.exe       856 True  True  True  True      True    True  True  True  True  True    True 
0xff1d7da0 spoolsv.exe      1432 True  True  True  True      True    True  True  True  True  True    True 
0x810b1660 system              4 True  True  True  True      True    True  None  True  True  True    True 
0x80fbf910 svchost.exe      1028 True  True  True  True      True    True  True  True  True  True    True 
0xff2ab020 smss.exe          544 True  True  True  True      True    True  None  True  True  False   True 
0xff255020 lsass.exe         688 True  True  True  True      True    True  True  True  True  True    True 
0xff247020 services.exe      676 True  True  True  True      True    True  True  True  True  True    True 
0xff217560 svchost.exe       936 True  True  True  True      True    True  True  True  True  True    True 
0xff22d558 svchost.exe      1088 True  True  True  True      True    True  True  True  True  True    True 
0xff3865d0 explorer.exe     1724 True  True  True  True      True    True  True  True  True  True    True 
0xff1ec978 winlogon.exe      632 True  True  True  True      True    True  True  True  True  True    True 
0xff1ecda0 csrss.exe         608 True  True  True  True      True    True  True  True  True  False   True 
0xff203b80 svchost.exe      1148 True  True  True  True      True    True  True  True  True  True    True 
